ds,yhat,yhat_lower,yhat_upper
2015-01-01 00:00:00,22371.245758424255,17043.521665572716,27520.971972294705
2015-01-01 00:10:00,21998.370809600856,16566.53063527321,27440.43070766668
2015-01-01 00:20:00,21636.526269271446,16538.379402913633,26721.23233869359
2015-01-01 00:30:00,21287.666836085235,16292.715405940215,26533.77725171956
2015-01-01 00:40:00,20953.36662796888,15665.704618372063,26036.74616341056
2015-01-01 00:50:00,20634.82089744189,14873.41286165635,25448.720734157676
2015-01-01 01:00:00,20332.858944744854,14955.511348698756,25542.313162915507
2015-01-01 01:10:00,20047.967460898908,14784.013419319655,25141.355513013703
2015-01-01 01:20:00,19780.32322841783,14821.072352077308,24852.506057255327
2015-01-01 01:30:00,19529.83384427056,14025.467909149633,24825.447467825958
2015-01-01 01:40:00,19296.184903280955,14015.521829876407,24481.901535023957
2015-01-01 01:50:00,19078.891910541322,14147.115014327675,24629.432972131915
2015-01-01 02:00:00,18877.355074695544,13628.856397104217,24070.29970850996
2015-01-01 02:10:00,18690.91506998397,13578.015174985829,23890.763963099234
2015-01-01 02:20:00,18518.907859967367,13065.33980283877,24140.962226783668
2015-01-01 02:30:00,18360.716729576066,13118.888810404716,23332.75156358019
2015-01-01 02:40:00,18215.819789773628,13076.628135456553,23814.519784077784
2015-01-01 02:50:00,18083.831386602295,12768.1848696687,23523.234546861862
2015-01-01 03:00:00,17964.53606253206,12758.596920855474,23336.591249353678
2015-01-01 03:10:00,17857.913971742262,12290.507455577734,23482.41389842584
2015-01-01 03:20:00,17764.156940732097,12531.963888224978,22882.776060135453
2015-01-01 03:30:00,17683.674677560368,12157.418408502308,22271.558292174388
2015-01-01 03:40:00,17617.090955206775,12366.17138494984,23135.582863282558
2015-01-01 03:50:00,17565.22992664799,12189.537892422082,22921.113119649814
2015-01-01 04:00:00,17529.09304770241,12260.196624303879,22528.224132798714
2015-01-01 04:10:00,17509.827390323582,12330.51874073616,22758.256621479617
2015-01-01 04:20:00,17508.68640821396,11740.429392185262,22447.931048952567
2015-01-01 04:30:00,17526.984460568492,12564.368690448455,22169.741886530555
2015-01-01 04:40:00,17566.04660279277,12611.626902286873,22974.01236541216
2015-01-01 04:50:00,17627.1553074997,12340.004525786555,23006.839985613336
2015-01-01 05:00:00,17711.49588098006,12301.11863612389,22805.866402540425
2015-01-01 05:10:00,17820.10238699233,12473.740373802484,23053.93220312355
2015-01-01 05:20:00,17953.805877712337,12529.835734246011,23234.815879178343
2015-01-01 05:30:00,18113.186666722177,12721.227578504804,23088.73987819187
2015-01-01 05:40:00,18298.532254707075,12900.371396426068,23463.76638570795
2015-01-01 05:50:00,18509.802350103477,13180.077016954905,23756.398447506534
2015-01-01 06:00:00,18746.602206631655,13540.251072051187,24045.949473646386
2015-01-01 06:10:00,19008.165248180296,13816.489871150932,24259.05014866836
2015-01-01 06:20:00,19293.34566585076,13983.634157037675,24693.820065153097
2015-01-01 06:30:00,19600.62136355597,14286.259835260511,25082.391203924966
2015-01-01 06:40:00,19928.10731614796,14539.527574587455,24894.728353734587
2015-01-01 06:50:00,20273.5790766949,14959.782153819893,25795.087197888442
2015-01-01 07:00:00,20634.5058676958,15107.830529072433,25592.952786702223
2015-01-01 07:10:00,21008.092386628283,15616.376879422312,26348.97827577403
2015-01-01 07:20:00,21391.3281994259,16367.136768659213,26597.420913238006
2015-01-01 07:30:00,21781.043353246314,16654.45125306494,27175.422788843276
2015-01-01 07:40:00,22173.96865780973,17019.367760173747,27472.10775707138
2015-01-01 07:50:00,22566.798939572454,17641.60237773291,27961.11927042228
2015-01-01 08:00:00,22956.25747907017,17929.978249868444,28708.990670789473
2015-01-01 08:10:00,23339.159815609855,17706.026259050974,28653.225102629
2015-01-01 08:20:00,23712.47511283597,18522.63417210346,28485.46531121418
2015-01-01 08:30:00,24073.383367688217,18706.56710798313,29300.34969642618
2015-01-01 08:40:00,24419.326861463796,19423.70115948462,29813.675610249797
2015-01-01 08:50:00,24748.054441132397,19649.83902640054,30252.951418493514
2015-01-01 09:00:00,25057.657428860715,20023.60715840981,30530.05695911467
2015-01-01 09:10:00,25346.596224188324,20138.271703641232,30869.029864920372
2015-01-01 09:20:00,25613.716943654927,19895.089027956103,30699.320133921174
2015-01-01 09:30:00,25858.257746513857,20447.814566469322,31500.747523554277
2015-01-01 09:40:00,26079.84481503342,21020.964025447236,31180.094232396972
2015-01-01 09:50:00,26278.478265022983,20870.082129103397,31305.595343557405
2015-01-01 10:00:00,26454.508575713942,21024.68943690179,31503.684358064427
2015-01-01 10:10:00,26608.604405905167,21307.029914813273,32118.17547346139
2015-01-01 10:20:00,26741.71292781311,21655.254121268405,32127.79901210315
2015-01-01 10:30:00,26855.014026488414,21629.991205027385,31996.61041260668
2015-01-01 10:40:00,26949.86989567663,21727.73197153142,32135.426080639914
2015-01-01 10:50:00,27027.771688956404,22121.5376583969,32294.660426651593
2015-01-01 11:00:00,27090.284963687252,22039.028108654005,32103.56844974904
2015-01-01 11:10:00,27138.99567796785,21941.63473907033,32425.59724948123
2015-01-01 11:20:00,27175.458468425575,21651.590808504083,32818.021463584555
2015-01-01 11:30:00,27201.148849406523,21969.208772209142,32953.06960377271
2015-01-01 11:40:00,27217.420834218618,22204.564175639345,32858.07185944273
2015-01-01 11:50:00,27225.471293432944,21879.639513957158,32449.79346429426
2015-01-01 12:00:00,27226.312135738495,22114.50269046524,32815.940195411116
2015-01-01 12:10:00,27220.75113496574,21972.459861173877,32354.690274052737
2015-01-01 12:20:00,27209.381936631762,22164.54022135621,32379.049048234807
2015-01-01 12:30:00,27192.583471301034,21585.444864299207,32002.828153998697
2015-01-01 12:40:00,27170.528688019313,21979.576496055786,32603.770372785402
2015-01-01 12:50:00,27143.202208907685,21793.586941436635,32648.482442899192
2015-01-01 13:00:00,27110.426205986063,22058.943224778686,31820.473503452155
2015-01-01 13:10:00,27071.893523975716,22256.553246902837,32534.894752466396
2015-01-01 13:20:00,27027.20682384751,22001.596480653872,31995.69371738095
2015-01-01 13:30:00,26975.922313841183,21825.81722733041,32322.118335133717
2015-01-01 13:40:00,26917.59646939863,21513.80274419387,31880.58413709614
2015-01-01 13:50:00,26851.834030332237,21995.013670304343,32320.40403770652
2015-01-01 14:00:00,26778.3355043202,21465.21184406393,31625.290002719335
2015-01-01 14:10:00,26696.942402612294,21536.082446809418,31790.96247680075
2015-01-01 14:20:00,26607.67848909479,21020.467232885574,31748.736770645173
2015-01-01 14:30:00,26510.785432029395,21107.91888321672,31787.398988455607
2015-01-01 14:40:00,26406.751412229256,21206.442333292398,31684.651434959582
2015-01-01 14:50:00,26296.331449971934,21407.38512434331,31629.296943219826
2015-01-01 15:00:00,26180.55846662647,20715.886310466147,31140.692471417493
2015-01-01 15:10:00,26060.744380807428,21278.37382005102,31054.38145359729
2015-01-01 15:20:00,25938.470853209335,20436.394181503423,31079.246684135316
2015-01-01 15:30:00,25815.56961918015,20824.977877579153,31346.550483301366
2015-01-01 15:40:00,25694.09268355047,20538.754103717398,31211.306702131056
2015-01-01 15:50:00,25576.272981841234,20414.027986572397,31025.69804369167
2015-01-01 16:00:00,25464.476424807315,20297.2094911442,31125.00402717346
2015-01-01 16:10:00,25361.14653749566,19744.00844730251,30463.8444932309
2015-01-01 16:20:00,25268.743158779977,19904.762510011285,30428.421278774425
2015-01-01 16:30:00,25189.676885813726,19987.39341140768,30230.990323944647
2015-01-01 16:40:00,25126.24111355892,19880.766100683093,30792.06619408329
2015-01-01 16:50:00,25080.543635371418,20235.776769720324,30207.36620111093
2015-01-01 17:00:00,25054.43982518921,19947.574320332566,30315.335338970843
2015-01-01 17:10:00,25049.469418961464,19943.118487331314,30559.60629288028
2015-01-01 17:20:00,25066.798847711107,19656.037765288394,30836.540995454186
2015-01-01 17:30:00,25107.170951503293,19605.87371021873,30407.574495763096
2015-01-01 17:40:00,25170.863724166335,20099.855912999566,30464.193921370694
2015-01-01 17:50:00,25257.65950862211,20085.319890065417,30598.493001135987
2015-01-01 18:00:00,25366.82578692262,20073.27395185451,30546.974267667316
2015-01-01 18:10:00,25497.108399094654,20132.58244577598,30903.13387405002
2015-01-01 18:20:00,25646.737683885203,20162.534504868865,30804.0719373243
2015-01-01 18:30:00,25813.447678981516,20446.15091699517,31001.125626590478
2015-01-01 18:40:00,25994.508152033457,20653.21031073281,31194.892299838117
2015-01-01 18:50:00,26186.76887242958,21042.238434332776,31059.953940787695
